State,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases
New York,3038,1332,20,7,1,3017
Washington,1187,175,67,12,89,1031
California,848,141,16,4,6,826
New Jersey,427,160,5,2,0,422
Florida,328,111,8,2,0,320
Illinois,288,127,1,0,2,285
Louisiana,280,80,7,3,0,273
Massachusetts,256,38,0,0,1,255
Colorado,221,38,2,0,0,219
Georgia,197,47,3,2,0,194
Texas,197,87,3,2,0,194
Pennsylvania,155,43,1,0,0,154
Michigan,119,54,1,1,0,118
Wisconsin,111,38,0,0,1,110
Tennessee,100,26,0,0,0,100
Connecticut,96,28,1,1,0,95
North Carolina,93,29,0,0,0,93
Ohio,89,22,0,0,0,89
Maryland,85,25,0,0,4,81
Virginia,79,12,2,0,1,76
Minnesota,78,16,0,0,0,78
Oregon,75,9,3,2,0,72
Utah,63,12,0,0,0,63
South Carolina,60,13,3,1,0,57
Nevada,55,0,1,0,0,54
Alabama,52,13,0,0,0,52
Maine,43,11,0,0,0,43
Indiana,39,9,2,0,0,37
New Hampshire,39,13,0,0,0,39
Iowa,38,15,0,0,0,38
Mississippi,36,15,0,0,0,36
Kentucky,35,9,1,0,0,34
Arkansas,33,11,0,0,0,33
Rhode Island,33,10,0,0,0,33
District of Columbia,31,9,0,0,0,31
Oklahoma,31,12,0,0,1,30
New Mexico,28,5,0,0,0,28
Arizona,27,7,0,0,1,26
Delaware,26,10,0,0,0,26
Nebraska,24,1,0,0,0,24
Kansas,23,5,1,0,0,22
Missouri,20,8,1,1,0,19
Vermont,19,7,0,0,0,19
Hawaii,16,3,0,0,0,16
Wyoming,16,5,0,0,0,16
South Dakota,11,0,1,0,0,10
Montana,11,2,0,0,0,11
Idaho,9,1,0,0,0,9
Alaska,6,3,0,0,0,6
North Dakota,6,3,0,0,0,6
West Virginia,1,0,0,0,0,1
